To,Location
LEDG[9],PIN_B1
LEDG[8],PIN_B2
LEDG[7],PIN_C2
LEDG[6],PIN_C1
LEDG[5],PIN_E1
LEDG[4],PIN_F2
LEDG[3],PIN_H1
LEDG[2],PIN_J3
LEDG[1],PIN_J2
LEDG[0],PIN_J1
reset,PIN_D2
SW[8],PIN_E4
SW[7],PIN_E3
SW[6],PIN_H7
SW[5],PIN_J7
SW[4],PIN_G5
SW[3],PIN_G4
SW[2],PIN_H6
SW[1],PIN_H5
SW[0],PIN_J6
reset_n,PIN_F1
KEY[1],PIN_G3
KEY[0],PIN_H2
FL_ADDR[21],PIN_R2
FL_ADDR[20],PIN_P3
FL_ADDR[19],PIN_P1
FL_ADDR[18],PIN_M6
FL_ADDR[17],PIN_M5
FL_ADDR[16],PIN_AA2
FL_ADDR[15],PIN_L6
FL_ADDR[14],PIN_L7
FL_ADDR[13],PIN_M1
FL_ADDR[12],PIN_M2
FL_ADDR[11],PIN_M3
FL_ADDR[10],PIN_N1
FL_ADDR[9],PIN_N2
FL_ADDR[8],PIN_P2
FL_ADDR[7],PIN_M4
FL_ADDR[6],PIN_M8
FL_ADDR[5],PIN_N6
FL_ADDR[4],PIN_N5
FL_ADDR[3],PIN_N7
FL_ADDR[2],PIN_P6
FL_ADDR[1],PIN_P5
FL_ADDR[0],PIN_P7
FL_BYTE_N,PIN_AA1
FL_CE_N,PIN_N8
FL_DQ[0],PIN_R7
FL_DQ[1],PIN_P8
FL_DQ[2],PIN_R8
FL_DQ[3],PIN_U1
FL_DQ[4],PIN_V2
FL_DQ[5],PIN_V3
FL_DQ[6],PIN_W1
FL_DQ[7],PIN_Y1
FL_DQ[8],PIN_T5
FL_DQ[9],PIN_T7
FL_DQ[10],PIN_T4
FL_DQ[11],PIN_U2
FL_DQ[12],PIN_V1
FL_DQ[13],PIN_V4
FL_DQ[14],PIN_W2
FL_OE_N,PIN_R6
FL_RST_N,PIN_R1
FL_RY,PIN_M7
FL_WE_N,PIN_P4
FL_WP_N,PIN_T3
FL_DQ15_AM1,PIN_Y2
GPIO_0[31],PIN_U7
GPIO_0[30],PIN_V5
GPIO_0[29],PIN_W6
GPIO_0[28],PIN_W7
GPIO_0[27],PIN_V8
GPIO_0[26],PIN_T8
GPIO_0[25],PIN_W10
GPIO_0[24],PIN_Y10
GPIO_0[23],PIN_V11
GPIO_0[22],PIN_R10
GPIO_0[21],PIN_V12
GPIO_0[20],PIN_U13
GPIO_0[19],PIN_W13
GPIO_0[18],PIN_Y13
GPIO_0[17],PIN_U14
GPIO_0[16],PIN_V14
GPIO_0[15],PIN_AA4
GPIO_0[14],PIN_AB4
GPIO_0[13],PIN_AA5
GPIO_0[12],PIN_AB5
GPIO_0[11],PIN_AA8
GPIO_0[10],PIN_AB8
GPIO_0[9],PIN_AA10
GPIO_0[8],PIN_AB10
GPIO_0[7],PIN_AA13
GPIO_0[6],PIN_AB13
GPIO_0[5],PIN_AB14
GPIO_0[4],PIN_AA14
GPIO_0[3],PIN_AB15
GPIO_0[2],PIN_AA15
GPIO_0[1],PIN_AA16
GPIO_0[0],PIN_AB16
GPIO_CLKIN_N0,PIN_AB12
GPIO_CLKIN_P0,PIN_AA12
GPIO_CLKOUT_N0,PIN_AB3
GPIO_CLKOUT_P0,PIN_AA3
GPIO_CLKIN_P1,PIN_AA11
GPIO_CLKIN_N1,PIN_AB11
GPIO_CLKOUT_P1,PIN_T16
GPIO_CLKOUT_N1,PIN_R16
GPIO_1[31],PIN_V7
GPIO_1[30],PIN_V6
GPIO_1[29],PIN_U8
GPIO_1[28],PIN_Y7
GPIO_1[27],PIN_T9
GPIO_1[26],PIN_U9
GPIO_1[25],PIN_T10
GPIO_1[24],PIN_U10
GPIO_1[23],PIN_R12
GPIO_1[22],PIN_R11
GPIO_1[21],PIN_T12
GPIO_1[20],PIN_U12
GPIO_1[19],PIN_R14
GPIO_1[18],PIN_T14
GPIO_1[17],PIN_AB7
GPIO_1[16],PIN_AA7
GPIO_1[15],PIN_AA9
GPIO_1[14],PIN_AB9
GPIO_1[13],PIN_V15
GPIO_1[12],PIN_W15
GPIO_1[11],PIN_T15
GPIO_1[10],PIN_U15
GPIO_1[9],PIN_W17
GPIO_1[8],PIN_Y17
GPIO_1[7],PIN_AB17
GPIO_1[6],PIN_AA17
GPIO_1[5],PIN_AA18
GPIO_1[4],PIN_AB18
